Genetic ID,Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Age at Death from physical anthropology,Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Data source,No. Libraries,1240k coverage (taken from original pulldown where possible),SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Family ID and position within family,Y haplogroup (manual curation in terminal mutation format),Y haplogroup (manual curation in ISOGG format),mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,ASSESSMENT,"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
I10292,I10292,P8L8 (mass burial),petrous,..,NovakPLoSOne2021,"Context: Date(s) from same site (I10293, I10052, I10272)",6050,115,4300-3900 BCE,..,Croatia_C_Lasinja_lc,Potočani,Croatia,45.4482,17.6388,Repulldown on 3.2M snpset,1240K,1,0.009842,11514,6151,M,n/a (no relatives detected),..,..,0.534,n/a (<2x),n/a (<2x),0.085,0.42,ds.half,S10292.E1.L1,PASS,..
I23904,I23904,P7730 (G 17),petrous,2021,PattersonNature2021,Direct: IntCal20,2642,75,"789-568 calBCE (2535±15 BP, UCIAMS-169836)",..,Croatia_EIA,Smiljan,Croatia,44.555384,15.310516,Repulldown on 3.2M snpset,1240K,1,4.367,807776,447098,F,n/a (no relatives detected),n/a (female),n/a (female),101.4,T2b,"[0.978,0.994]",0.081,0.012,ds.half,S23904.Y1.E1.L1,PASS,..
I23911,I23911,P7737 (G 6),petrous,2021,PattersonNature2021,Direct: IntCal20,2765,17,"891-797 calBCE (2660±15 BP, UCIAMS-169832)",..,Croatia_EIA,Smiljan,Croatia,44.555384,15.310516,Repulldown on 3.2M snpset,1240K,1,3.229,802764,442168,M,n/a (no relatives detected),..,..,113.9,T2a1a,"[0.996,1.000]",0.133,0.431,ds.half,S23911.Y1.E1.L1,PASS,..
I23995,I23995,P7787 (G 9A),petrous,2021,PattersonNature2021,Direct: IntCal20,2729,34,"810-675 calBCE (2585±25 BP, UCIAMS-169833)",..,Croatia_EIA,Smiljan,Croatia,44.555384,15.310516,Repulldown on 3.2M snpset,1240K,1,4.685,793384,438646,M,n/a (no relatives detected),..,..,183.1,H3b,"[0.991,1.000]",0.141,0.439,ds.half,S23995.Y1.E1.L1,PASS,..
I23996,I23996,P7788 (G 9),petrous,2021,PattersonNature2021,Direct: IntCal20,2744,8,"809-779 calBCE (2610±20 BP, UCIAMS-172395)",..,Croatia_EIA,Smiljan,Croatia,44.555384,15.310516,Repulldown on 3.2M snpset,1240K,1,4.336,752396,415802,F,n/a (no relatives detected),n/a (female),n/a (female),131.7,H3b,"[0.972,0.994]",0.109,0.018,ds.half,S23996.Y1.E1.L1,PASS,..
I24638,I24638,"P8322 (G 16, G 16)",petrous,2021,PattersonNature2021,Direct: IntCal20,2658,77,"795-567 calBCE (2545±20 BP, UCIAMS-169835)",..,Croatia_EIA,Smiljan,Croatia,44.555384,15.310516,Repulldown on 3.2M snpset,1240K,1,3.427,779342,430350,M,n/a (no relatives detected),..,..,196.6,U5a1g,"[0.977,0.994]",0.088,0.431,ds.half,S24638.Y1.E1.L1,PASS,..
I24639,I24639,"P8323 (G 15, G 15)",petrous,2021,PattersonNature2021,Direct: IntCal20,2658,77,"795-567 calBCE (2545±20 BP, UCIAMS-172396)",..,Croatia_EIA,Smiljan,Croatia,44.555384,15.310516,Repulldown on 3.2M snpset,1240K,1,6.469,787553,435941,M,n/a (no relatives detected),..,..,175.6,H1,"[0.983,0.999]",0.117,0.457,ds.half,S24639.Y1.E1.L1,PASS,..
I24879,I24879,P8440 (G 3),petrous,2021,PattersonNature2021,Direct: IntCal20,2599,67,"774-549 calBCE (2510±15 BP, UCIAMS-135086)",..,Croatia_EIA,Skradnik-Sultanov grob,Croatia,45.21455,15.315809,Repulldown on 3.2M snpset,1240K,1,4.741,807701,445997,F,n/a (no relatives detected),n/a (female),n/a (female),127.8,H5,"[0.989,1.000]",0.112,0.015,ds.half,S24879.Y1.E1.L1,PASS,..
I24882,I24882,P8443 (G 3),petrous,2021,PattersonNature2021,Direct: IntCal20,2599,67,"774-549 calBCE (2510±15 BP, UCIAMS-179777)",..,Croatia_EIA,Mala Metaljka,Croatia,45.173585,16.124298,Repulldown on 3.2M snpset,1240K,1,5.431,817578,451241,M,n/a (no relatives detected),..,..,152.1,H,"[0.989,1.000]",0.112,0.438,ds.half,S24882.Y1.E1.L1,PASS,..
I24883,I24883,"P8444 (STR 5.184, IND 533)",tooth (molar),2021,PattersonNature2021,Context: Archaeological - Period,2750,29,850-750 BCE ,..,Croatia_EIA,Osor-St. Peter,Croatia,44.694464,14.3927,Repulldown on 3.2M snpset,1240K,1,0.017,20082,10824,F,n/a (no relatives detected),n/a (female),n/a (female),3.269,HV0e,"[0.704,0.909]",0.194,0.018,ds.half,S24883.Y1.E1.L1,QUESTIONABLE,"mtcontam=[0.704,0.900]"
I24345,I24345,"P8548 (Tumulus 2, G 1)",tooth (premolar),2021,PattersonNature2021,Context: Archaeological - Period,2900,318,1500-400 BCE,..,Croatia_LBA_EIA,Velim-Kosa,Croatia,43.88741,15.72534,Repulldown on 3.2M snpset,1240K,1,0.057,52173,28512,M,n/a (no relatives detected),..,..,25.72,HV0e,"[0.990,1.000]",0.062,0.4,ds.half,S24345.Y1.E1.L1,PASS,..
I26742,I26742,P9184 (6087),petrous,2021,PattersonNature2021,Context: Archaeological - Layer date,2650,58,800-600 BCE,Croatia_EIA,Croatia_LBA_EIA,Jazinka Cave,Croatia,43.705878,16.520021,Repulldown on 3.2M snpset,1240K,1,9.714,925712,504564,M,Jazinka Cave Family A (2 members) (mother-son: I3313-I26742),..,..,226.6,HV0e,"[0.992,1.000]",0.135,0.44,ds.half,S26742.Y1.E1.L1,PASS,..
I24344,I24344,P8547 (Tumulus 4),tooth (molar),2021,PattersonNature2021,Context: Archaeological - Period,2900,318,1500-400 BCE,..,Croatia_LBA_EIA_lc,Velim-Kosa,Croatia,43.88741,15.72534,Repulldown on 3.2M snpset,1240K,1,0.01,10699,5873,F,n/a (no relatives detected),n/a (female),n/a (female),19.81,H13a2a,"[0.979,1.000]",0.102,0.022,ds.half,S24344.Y1.E1.L1,PASS,..
I19017,I19017,u-37c,tooth (incisor),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,6,0.107,111390,58983,F,n/a (no relatives detected),n/a (female),n/a (female),178.574265,H6a1a,"[0.977,0.993]",0.153,0.017118093,"ss.half,ss.half,ss.half,ss.half,ss.half,ss.half","S19017.Y1.E1.L1,S19019.Y1.E1.L1,S19021.Y1.E1.L1,S19017.Y1.E2.L1,S19019.Y1.E2.L1,S19021.Y1.E2.L1",PASS,..
I24342,I24342,"P8545 (Tumulus 3, G 1)",petrous,2021,PattersonNature2021,Direct: IntCal20,3410,23,"1501-1421 calBCE (3185±20 BP, UCIAMS-233623)",..,Croatia_MBA,Velim-Kosa,Croatia,43.88741,15.72534,Repulldown on 3.2M snpset,1240K,1,6.288,820306,452665,M,n/a (no relatives detected),..,..,104.7,T2b23,"[0.978,0.991]",0.09,0.45,ds.half,S24342.Y1.E1.L1,PASS,..
I26773,I26773,"P9210 (Nebengrab 1, lubanja 1, 9)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,3325,101,1550-1200 BCE,..,Croatia_MBA,Mušego/Mon Sego,Croatia,45.068212,13.70839,Repulldown on 3.2M snpset,1240K,1,1.967,728296,404750,F,n/a (no relatives detected),n/a (female),n/a (female),105.2,J1c2,"[0.963,0.984]",0.181,0.012,ds.half,S26773.Y1.E1.L1,PASS,..
I26774,I26774,"P9211 (Nebengrab 1, lubanja 2, 11)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,3325,101,1550-1200 BCE,..,Croatia_MBA,Mušego/Mon Sego,Croatia,45.068212,13.70839,Repulldown on 3.2M snpset,1240K,1,3.469,827364,455781,F,n/a (no relatives detected),n/a (female),n/a (female),173.8,J1c2,"[0.974,0.993]",0.13,0.012,ds.half,S26774.Y1.E1.L1,PASS,..
I26893,I26893,"P9223 (Nebengrab 1, 111/2)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,3325,101,1550-1200 BCE,..,Croatia_MBA,Mušego/Mon Sego,Croatia,45.068212,13.70839,Repulldown on 3.2M snpset,1240K,1,7.25,861181,470063,F,n/a (no relatives detected),n/a (female),n/a (female),127.9,U8b1b1,"[0.968,0.990]",0.134,0.015,ds.half,S26893.Y1.E1.L1,PASS,..
I11843,I11843,"TWO CODES: (1) u-25, grave 1; (2) u-28, grave 1",tooth (incisor),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,3,0.455,392162,205736,M,n/a (no relatives detected),..,..,261.418311,T1a1,"[0.995,1]",0.086,0.389964417,"ds.half,ds.half,ss.half","S11843.E1.L1,S11845.E1.L1,S19035.Y1.E2.L1",PASS,..
I19019,I19019,u-37e,tooth (premolar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina_dup.I19017,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,2,0.056,59977,31545,F,n/a (no relatives detected),n/a (female),n/a (female),46.03235,H6a1a,"[0.956,0.98]",0.142,0.017951856,"ss.half,ss.half","S19019.Y1.E1.L1,S19019.Y1.E2.L1",PASS,..
I19025,I19025,u-61c,tooth (premolar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,2,0.02,19114,10190,M,n/a (no relatives detected),..,..,122.799143,J1c1,"[0.944,0.977]",0.103,0.353760446,"ss.half,ss.half","S19025.Y1.E1.L1,S19025.Y1.E2.L1",PASS,"mtcontam=[0.944,0.977]"
I19026,I19026,u-61d,tooth (premolar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,2,0.043,42738,22514,M,n/a (no relatives detected),..,..,193.924558,J1c1,"[0.967,0.987]",0.11,0.35154827,"ss.half,ss.half","S19026.Y1.E1.L1,S19026.Y1.E2.L1",PASS,..
I19027,I19027,u-61e,tooth (incisor),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,2,0.445,350073,187510,F,"Croatia, Cetina Valley Family A (3 members) (I19022 is a 1st degree relative of I19020 and I19027)",n/a (female),n/a (female),112.567687,H,"[0.942,0.971]",0.087,0.012484726,"ss.half,ss.half","S19027.Y1.E1.L1,S19027.Y1.E2.L1",PASS,"mtcontam=[0.942,0.971], damage.ss.half=0.087"
I19029,I19029,u-61g,tooth (incisor),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,2,0.081,74386,39369,M,n/a (no relatives detected),..,..,303.65351,J1c1,"[0.901,0.978]",0.1,0.362446843,"ss.half,ss.half","S19029.Y1.E1.L1,S19029.Y1.E2.L1",PASS,"mtcontam=[0.901,0.978]"
I19032,I19032,u-61j,tooth (canine),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,2,0.106,109008,57926,M,n/a (no relatives detected),..,..,179.198865,J1c1,"[0.967,0.987]",0.107,0.391952729,"ss.half,ss.half","S19032.Y1.E1.L1,S19032.Y1.E2.L1",PASS,..
I19022,I19022,u-64,tooth (molar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina_1d.rel.I19027.possible.1d.rel.I19020,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,2,0.045,49870,26541,F,"Croatia, Cetina Valley Family A (3 members) (I19022 is a 1st degree relative of I19020 and I19027)",n/a (female),n/a (female),27.506307,H,"[0.958,0.99]",0.201,0.012175754,"ss.half,ss.half","S19022.Y1.E1.L1,S19022.Y1.E2.L1",PASS,..
I19016,I19016,u-37b,tooth (premolar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,adult ,Croatia_MBA_Cetina_lc,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,1,0.003,3185,1601,F,n/a (no relatives detected),n/a (female),n/a (female),8.814,H6a1,"[0.883,0.966]",0.147,0.08,ss.half,S19016.Y1.E2.L1,QUESTIONABLE,"2500.to.5000.SNPs, sexratio=0.080, mtcontam=[0.883,0.966]"
I19031,I19031,u-61i,tooth (incisor),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_Cetina_o,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,1,0.015,17307,9137,M,n/a (no relatives detected),..,..,111.1,J1c1,"[0.976,0.993]",0.192,0.4,ss.half,S19031.Y1.E2.L1,PASS,..
I19020,I19020,u-37f,tooth (premolar),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_dup.or.1d.rel.I19017,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,1,0.024,27291,14411,F,"Croatia, Cetina Valley Family A (3 members) (I19022 is a 1st degree relative of I19020 and I19027)",n/a (female),n/a (female),97.31,H6a1a,"[0.963,0.985]",0.157,0.01,ss.half,S19020.Y1.E2.L1,PASS,..
I19030,I19030,u-61h,tooth (incisor),2022,LazaridisAlpaslanRoodenbergScience2022,Context: Archaeological - Period,3750,115,2000-1600 BCE,..,Croatia_MBA_possible.dup.I19023_lc,Cetina Valley,Croatia,43.9672237,16.4326708,Repulldown on 3.2M snpset,1240K,1,0.006,5352,2881,M,n/a (no relatives detected),..,..,297.5,J1c1,"[0.982,0.995]",0.118,0.328,ss.half,S19030.Y1.E2.L1,QUESTIONABLE,sexratio=0.328
I18719,I18719,3779 (BzV 10a),petrous (CBD); petrous (CBD),2021,PattersonNature2021,Context: Archaeological - Period,3100,202,1500-800 BCE,adult ,Croatia_MLBA_alt,Bezdanjača Cave,Croatia,44.8520052,15.4199444,Repulldown on 3.2M snpset,1240k,2,3.747999,822220,453767,M,n/a (no relatives detected),..,..,358.753455,HV0a1a,..,0.432,0.432,"ds.half,ds.half","S18719.Y1.E1.L1,S18719.Y1.E2.L1",PASS,..
I26738,I26738,"P9181_M-C (G 3, SU 1993)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,7125,159,5450-4900 BCE,..,Croatia_MN,Gornja Vrba-Savsko polje,Croatia,45.14585,18.061342,Repulldown on 3.2M snpset,1240K,1,1.093,644850,349615,F,n/a (no relatives detected),n/a (female),n/a (female),56.3,T2b,"[0.957,0.979]",0.254,0.013,ds.half,S26738.Y1.E1.L1,PASS,"mtcontam=[0.957,0.970]"
I26741,I26741,P9183 (1),petrous,2021,PattersonNature2021,Direct: IntCal20,6585,47,"4713-4548 calBCE (5786±30 BP, SUERC-50664)",..,Croatia_MN_Sopot,Osijek-Hermanov vinograd,Croatia,45.55101,18.746617,Repulldown on 3.2M snpset,1240K,1,6.513,880904,483532,F,n/a (no relatives detected),n/a (female),n/a (female),196.2,T2b,"[0.985,0.997]",0.169,0.011,ds.half,S26741.Y1.E1.L1,PASS,..
I10055,I10055,P8L13 (mass burial),petrous,..,NovakPLoSOne2021,Direct: IntCal20,7727,34,"5841-5723 calBCE (6900±25 BP, PSUAMS-5336)",..,Croatia_N,Potočani,Croatia,45.4482,17.6388,Repulldown on 3.2M snpset,1240K,1,1.56434,670392,366786,F,n/a (no relatives detected),n/a (female),n/a (female),174,K1a1,"[0.994,0.999]",0.136,0.011,ds.half,S10055.E1.L1,PASS,..
I10759,I10759,"CRCO_3 (0197SAVA Sanaam 0197SAVA0055SADNA, trench U2, Feature find, fill 1, planum indet, curacao)",petrous,2020,FernandesSirakNature2020,Context: Archaeological - Period,650,58,1200-1400 CE,..,Curacao_deSavaan_Ceramic,Savaan,Curacao,12.13,-68.97,Repulldown on 3.2M snpset,1240K,1,0.026336,30415,15518,M,n/a (no relatives detected),..,..,11.07,A2+(64),"[0.958,0.995]",0.2,0.407,ds.half,S10759.E1.L2,PASS,..
I11892,I11892,"668 (0058SAVA0002SADNA, Trench T2; Feature F2; Fill1; Planum 0)",tooth (incisor),2020,FernandesSirakNature2020,Direct: IntCal20,603,30,"1300-1398 calCE (620±20 BP, PSUAMS-7387)",..,Curacao_deSavaan_Ceramic,Savaan,Curacao,12.13,-68.97,Repulldown on 3.2M snpset,1240K,1,0.156651,167466,90710,F,n/a (no relatives detected),n/a (female),n/a (female),17.2,C1c+195,"[0.979,0.999]",0.062,0.008,ds.half,S11892.E1.L1,PASS,..
I12967,I12967,694 (0000BONE001SADNA),petrous,2020,FernandesSirakNature2020,Direct: IntCal20,660,22,"1271-1378 calCE (710±20 BP, PSUAMS-7386)",..,Curacao_deSavaan_Ceramic,Savaan,Curacao,12.13,-68.97,Repulldown on 3.2M snpset,1240K,1,2.328127,763795,419238,M,n/a (no relatives detected),..,..,358.9,D1,"[0.985,0.998]",0.154,0.397,ds.half,S12967.Y1.E1.L1,PASS,"Xcontam=[0.006,0.012]"
I13472,I13472,"775 (0659SAVA075SADNA, Trench 4; Feature F043; Fill 1; Planum 0)",petrous,2020,FernandesSirakNature2020,Direct: IntCal20,602,29,"1302-1400 calCE (610±20 BP, PSUAMS-7355)",..,Curacao_deSavaan_Ceramic,Savaan,Curacao,12.13,-68.97,Repulldown on 3.2M snpset,1240K,1,2.88021,823754,452505,F,n/a (no relatives detected),n/a (female),n/a (female),262,A2am,"[0.981,0.995]",0.126,0.008,ds.half,S13472.Y1.E1.L1,PASS,..
I10758,I10758,"CRCO_1 (0009SCRU Santa Cruz, Curacao, 0009SCRU001SADNA, trench 1, feature F001, Fill 1, planum 1) | 796 (0009SCRU001SADNA, Trench 1; Feature F001; Planum 1)",petrous,2020,FernandesSirakNature2020,Direct: IntCal20,666,15,"1267-1299 calCE (720±20 BP, PSUAMS-7292)",..,Curacao_SantaCruz_Ceramic,Santa Cruz,Curacao,12.3,-69.15,Repulldown on 3.2M snpset,1240K,2,4.957748,892334,485860,F,n/a (no relatives detected),n/a (female),n/a (female),..,C1b,..,..,0.008,"ds.half,ds.half","S10758.E1.L2,S13486.Y1.E1.L1",PASS,..
I7949,I7949,BILI_7958 (Bilina inv. 7958),petrous,2019,NarasimhanPattersonScience2019,Direct: IntCal20,3022,42,"1192-1005 calBCE (2890±20 BP, PSUAMS-6927)",..,Czech_BA_Veterov_2,Bilina,Czech Republic,50.548056,13.776111,Repulldown on 3.2M snpset,1240K,1,5.470052,838898,461403,M,n/a (no relatives detected),..,..,233,U5a1i1,"[0.985,0.994]",0.108,0.42,ds.half,S7949.E1.L1,PASS,..
I4136,I4136,"RISE567 (F0523, A0766, gr. 8)",tooth,2015,OlaldeNature2018 (known there as I5025),Context: Archaeological - Period,4250,289,2800-1800 BCE,..,Czech_BellBeaker,Knezeves,Czech Republic,50.118,14.258,Repulldown on 3.2M snpset,1240K,1,0.251,244414,131406,F,n/a (no relatives detected),n/a (female),n/a (female),1090,U5b2c,"[0.998,1.000]",0.05,0.01,ds.half,S5025.E1.L1,PASS,..
I4145,I4145,"RISE566 (F0521,  A01168)",tooth,2015,OlaldeNature2018 (known there as I5024,Direct: IntCal20,4089,66,"2282-2032 calBCE (3740±35 BP, Poz-84460)",..,Czech_BellBeaker,Knezeves,Czech Republic,50.118,14.258,Repulldown on 3.2M snpset,1240K,1,0.081,90611,48231,M,n/a (no relatives detected),..,..,107,H3,"[0.997,1.000]",0.079,0.41,ds.half,S5024.E1.L1,PASS,..
I15823,I15823,"1651 (66, 16044, S. 609; Prirus. C. P7p-4/95)",petrous,2021,PattersonNature2021,Context: Archaeological - Period,5550,115,3800-3400 BCE,..,Czech_C,"Central Bohemia, Prague 5, Prague-Jinonice (Holmanʼs Garden Centre)",Czech Republic,50.054385,14.363387,Repulldown on 3.2M snpset,1240K,1,1.020987,586879,312511,M,n/a (no relatives detected),..,..,105.4,K1a4a1,"[0.970,0.989]",0.14,0.403,ss.half,S15823.Y1.E1.L1,PASS,..
I15826,I15826,"1654 (92, 16049, S. 789)",petrous,2021,PattersonNature2021,Direct: IntCal20,5505,65,"3634-3382 calBCE (4750±25 BP, PSUAMS-8271)",..,Czech_C,"Central Bohemia, Prague 5, Prague-Jinonice (Holmanʼs Garden Centre)",Czech Republic,50.054385,14.363387,Repulldown on 3.2M snpset,1240K,1,0.225559,222723,117830,M,n/a (no relatives detected),..,..,41.24,T2b,"[0.969,0.990]",0.208,0.388,ss.half,S15826.Y1.E1.L1,PASS,..
I17310,I17310,"2839 (P7A-7997, 137B)",petrous,2021,PattersonNature2021,Direct: IntCal20,5397,47,"3519-3370 calBCE (4670±30 BP, PSUAMS-10053)",..,Czech_C,"NW Bohemia, Teplice, Bílina (Titzler)",Czech Republic,50.556196,13.763549,Repulldown on 3.2M snpset,1240K,1,0.963277,437697,235510,M,n/a (no relatives detected),..,..,56.41,J1c7,"[0.973,0.993]",0.108,0.473564636,ss.half,S17310.Y1.E2.L1,PASS,..
I14167,I14167,"1155 (59, 34192)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,1.867319,753658,415486,M,n/a (no relatives detected),..,..,415.7,U5b3,"[0.987,0.999]",0.101,0.4,ds.half,S14167.Y1.E1.L1,PASS,..
I14169,I14169,"1157 (38053, sonda 19, prikop II, pr. C. 61/1979)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,3.869031,794414,439022,M,n/a (no relatives detected),..,..,413.4,N1a1a1a2,"[0.988,0.999]",0.076,0.422,ds.half,S14169.Y1.E1.L1,PASS,..
I14170,I14170,"1158 (34187, 35 dno)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,3.329508,785492,434317,M,n/a (no relatives detected),..,..,648.1,H+16129,"[0.984,0.998]",0.086,0.408,ds.half,S14170.Y1.E1.L1,PASS,..
I14171,I14171,"1159 (37239, obj. 123, 29, 8-30)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,3.489895,778914,429592,F,n/a (no relatives detected),n/a (female),n/a (female),699.8,H3,"[0.991,1.000]",0.085,0.009,ds.half,S14171.Y1.E1.L1,PASS,..
I14172,I14172,"1160 (38218, obj. 127)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,3.402699,792081,434852,F,n/a (no relatives detected),n/a (female),n/a (female),627.7,U3a1,"[0.985,0.997]",0.087,0.007,ds.half,S14172.Y1.E1.L1,PASS,..
I14173,I14173,"1161 (34197, 96 (3), 61-3-96 e.f)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,4.000783,811949,448166,M,n/a (no relatives detected),..,..,492.6,K1a+195,"[0.989,0.999]",0.088,0.417,ds.half,S14173.Y1.E1.L1,PASS,..
I14174,I14174,"1162 (34185 c., 28 dno, 1, 61-3-28 m)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,3.221055,772079,426195,M,n/a (no relatives detected),..,..,835,H,"[0.988,1.000]",0.097,0.412,ds.half,S14174.Y1.E1.L1,PASS,..
I14175,I14175,"1163 (34204, 1, west)",petrous,2021,PapacScienceAdvances2021,"Context: Date(s) from same site (I7186, I7187, I7188, I7189, I7191, I7192, I7193, I7194, MA1)",5850,231,4300-3500 BCE,..,Czech_C_Baalberge,Makotrasy,Czech Republic,50.145766,14.221421,Repulldown on 3.2M snpset,1240K,1,3.144535,778787,429185,F,n/a (no relatives detected),n/a (female),n/a (female),456.9,J1c2,"[0.977,0.994]",0.138,0.009,ds.half,S14175.Y1.E1.L1,PASS,..
